MSOA code,Total annual income,,,
E02001700," 36,700 ",,,
E02001701," 40,900 ",,,
E02001702," 28,300 ",,,
E02001703," 41,400 ",,,
E02001704," 30,600 ",,,
E02001705," 35,600 ",,,
E02001706," 32,700 ",,,
E02001707," 32,800 ",,,
E02006841," 34,700 ",,,
E02006842," 34,100 ",,,
E02001708," 40,100 ",,,
E02001709," 51,100 ",,,
E02001710," 31,300 ",,,
E02001711," 31,000 ",,,
E02001712," 52,500 ",,,
E02001713," 49,000 ",,,
E02001714," 51,600 ",,,
E02001715," 35,500 ",,,
E02001718," 28,700 ",,,
E02001719," 43,100 ",,,
E02001720," 46,500 ",,,
E02001721," 33,300 ",,,
E02001722," 31,400 ",,,
E02001723," 35,600 ",,,
E02001724," 41,400 ",,,
E02001725," 35,100 ",,,
E02001726," 31,500 ",,,
E02001727," 34,100 ",,,
E02001728," 33,200 ",,,
E02001729," 30,800 ",,,
E02001730," 31,000 ",,,
E02001731," 28,900 ",,,
E02001732," 30,800 ",,,
E02001733," 29,200 ",,,
E02001734," 28,300 ",,,
E02001735," 25,000 ",,,
E02001736," 26,900 ",,,
E02001737," 24,700 ",,,
E02006893," 36,400 ",,,
E02001738," 48,500 ",,,
E02001739," 34,100 ",,,
E02001740," 52,600 ",,,
E02001741," 38,600 ",,,
E02001742," 46,600 ",,,
E02001743," 43,200 ",,,
E02001744," 38,300 ",,,
E02001745," 37,200 ",,,
E02001746," 39,000 ",,,
E02001747," 40,400 ",,,
E02001748," 39,700 ",,,
E02001749," 37,000 ",,,
E02001750," 40,600 ",,,
E02001751," 35,100 ",,,
E02001752," 31,000 ",,,
E02001753," 39,600 ",,,
E02001754," 44,000 ",,,
E02001755," 42,000 ",,,
E02001756," 35,200 ",,,
E02001757," 34,100 ",,,
E02001758," 38,500 ",,,
E02001759," 34,500 ",,,
E02001760," 29,000 ",,,
E02001761," 32,800 ",,,
E02001762," 35,700 ",,,
E02001763," 28,000 ",,,
E02001764," 30,200 ",,,
E02001765," 30,600 ",,,
E02001766," 34,100 ",,,
E02001767," 31,800 ",,,
E02001768," 31,500 ",,,
E02001769," 26,000 ",,,
E02001770," 36,100 ",,,
E02001771," 32,600 ",,,
E02001772," 34,400 ",,,
E02001773," 40,700 ",,,
E02001774," 30,400 ",,,
E02001775," 29,000 ",,,
E02001776," 32,600 ",,,
E02001777," 34,600 ",,,
E02001778," 30,400 ",,,
E02001779," 27,400 ",,,
E02001780," 34,800 ",,,
E02001781," 27,000 ",,,
E02001782," 30,500 ",,,
E02001783," 28,900 ",,,
E02001784," 32,600 ",,,
E02001785," 34,100 ",,,
E02001786," 30,300 ",,,
E02001787," 34,100 ",,,
E02001788," 34,300 ",,,
E02001789," 49,600 ",,,
E02001790," 40,600 ",,,
E02001791," 40,900 ",,,
E02001792," 40,900 ",,,
E02001793," 27,200 ",,,
E02001794," 27,300 ",,,
E02001795," 27,700 ",,,
E02001796," 32,200 ",,,
E02001797," 38,600 ",,,
E02001798," 29,200 ",,,
E02001799," 28,800 ",,,
E02001800," 34,900 ",,,
E02001801," 28,700 ",,,
E02001802," 26,400 ",,,
E02001803," 27,300 ",,,
E02001804," 31,100 ",,,
E02001805," 34,100 ",,,
E02001806," 25,800 ",,,
E02001807," 36,500 ",,,
E02001808," 35,900 ",,,
E02001809," 35,400 ",,,
E02001810," 37,100 ",,,
E02001811," 28,800 ",,,
E02001812," 43,100 ",,,
E02001813," 27,000 ",,,
E02001814," 33,300 ",,,
E02001815," 43,500 ",,,
E02001816," 28,000 ",,,
E02001817," 29,600 ",,,
E02001818," 34,500 ",,,
E02001819," 40,600 ",,,
E02001820," 36,300 ",,,
E02001821," 38,700 ",,,
E02001822," 36,900 ",,,
E02001823," 33,600 ",,,
E02001824," 34,200 ",,,
E02001825," 31,800 ",,,
E02001826," 29,700 ",,,
E02002615," 36,500 ",,,
E02002616," 44,900 ",,,
E02002617," 31,200 ",,,
E02002618," 34,100 ",,,
E02002619," 31,000 ",,,
E02002620," 26,400 ",,,
E02002621," 28,700 ",,,
E02002622," 27,800 ",,,
E02002623," 31,400 ",,,
E02002624," 45,200 ",,,
E02002625," 35,300 ",,,
E02002626," 35,100 ",,,
E02002627," 47,800 ",,,
E02002628," 33,500 ",,,
E02002629," 33,500 ",,,
E02002630," 33,100 ",,,
E02002631," 39,500 ",,,
E02002632," 49,500 ",,,
E02002633," 32,800 ",,,
E02002634," 30,700 ",,,
E02002635," 33,700 ",,,
E02002636," 34,100 ",,,
E02002637," 35,700 ",,,
E02002638," 24,900 ",,,
E02002639," 25,100 ",,,
E02002640," 25,600 ",,,
E02002641," 34,700 ",,,
E02002642," 22,600 ",,,
E02002643," 30,900 ",,,
E02002644," 36,100 ",,,
E02002645," 21,600 ",,,
E02002646," 29,100 ",,,
E02002647," 28,700 ",,,
E02002648," 31,200 ",,,
E02002649," 33,100 ",,,
E02002650," 34,100 ",,,
E02002651," 33,200 ",,,
E02003853," 51,000 ",,,
E02003854," 46,400 ",,,
E02003855," 46,800 ",,,
E02003856," 40,900 ",,,
E02003857," 50,800 ",,,
E02003858," 52,900 ",,,
E02003859," 46,400 ",,,
E02003860," 55,700 ",,,
E02003861," 44,000 ",,,
E02003863," 53,000 ",,,
E02003862," 57,000 ",,,
E02003864," 49,700 ",,,
E02003865," 47,000 ",,,
E02003866," 60,000 ",,,
E02003867," 49,000 ",,,
E02003868," 41,800 ",,,
E02003869," 48,900 ",,,
E02003870," 43,100 ",,,
E02003871," 38,500 ",,,
E02003872," 48,000 ",,,
E02003873," 35,500 ",,,
E02003811," 51,100 ",,,
E02003812," 48,600 ",,,
E02003813," 41,500 ",,,
E02003814," 46,500 ",,,
E02003815," 36,900 ",,,
E02003816," 38,900 ",,,
E02003817," 43,900 ",,,
E02003818," 48,300 ",,,
E02003819," 43,700 ",,,
E02003820," 51,300 ",,,
E02003821," 39,600 ",,,
E02003822," 44,100 ",,,
E02003825," 46,800 ",,,
E02003826," 34,600 ",,,
E02003827," 32,700 ",,,
E02003828," 34,900 ",,,
E02003829," 37,100 ",,,
E02003830," 36,500 ",,,
E02003823," 43,500 ",,,
E02003831," 49,000 ",,,
E02003824," 47,900 ",,,
E02003832," 39,800 ",,,
E02003833," 42,700 ",,,
E02003834," 38,200 ",,,
E02003835," 52,300 ",,,
E02003836," 38,400 ",,,
E02003838," 44,900 ",,,
E02003837," 51,500 ",,,
E02003839," 41,100 ",,,
E02003840," 44,400 ",,,
E02003841," 41,800 ",,,
E02003874," 47,300 ",,,
E02003875," 46,900 ",,,
E02003842," 51,500 ",,,
E02003843," 36,700 ",,,
E02003844," 43,500 ",,,
E02003845," 31,700 ",,,
E02003846," 32,100 ",,,
E02003847," 51,000 ",,,
E02003848," 36,000 ",,,
E02003849," 31,600 ",,,
E02003876," 42,700 ",,,
E02003850," 39,400 ",,,
E02003851," 44,700 ",,,
E02003877," 46,500 ",,,
E02003852," 44,700 ",,,
E02003878," 42,800 ",,,
E02003879," 38,100 ",,,
E02003880," 40,000 ",,,
E02003881," 40,700 ",,,
E02003882," 37,500 ",,,
E02003794," 45,000 ",,,
E02003883," 53,300 ",,,
E02003884," 50,100 ",,,
E02003795," 44,000 ",,,
E02003885," 47,800 ",,,
E02003796," 39,600 ",,,
E02003797," 50,300 ",,,
E02003798," 32,700 ",,,
E02003800," 50,300 ",,,
E02003799," 32,000 ",,,
E02003801," 47,300 ",,,
E02003802," 36,900 ",,,
E02003803," 36,400 ",,,
E02003886," 38,100 ",,,
E02003804," 45,300 ",,,
E02003887," 44,400 ",,,
E02003888," 33,500 ",,,
E02003805," 49,000 ",,,
E02003889," 36,700 ",,,
E02003806," 50,400 ",,,
E02003890," 39,900 ",,,
E02003807," 50,100 ",,,
E02003808," 38,700 ",,,
E02003891," 47,500 ",,,
E02003809," 47,200 ",,,
E02003810," 41,400 ",,,
E02002574," 47,600 ",,,
E02002575," 54,500 ",,,
E02002576," 33,900 ",,,
E02002577," 29,600 ",,,
E02002578," 35,300 ",,,
E02002579," 32,100 ",,,
E02002580," 28,900 ",,,
E02002581," 37,800 ",,,
E02002582," 55,200 ",,,
E02002583," 28,900 ",,,
E02002584," 37,300 ",,,
E02002585," 36,300 ",,,
E02002586," 29,400 ",,,
E02002587," 34,300 ",,,
E02002588," 29,100 ",,,
E02002589," 49,400 ",,,
E02002590," 47,600 ",,,
E02002591," 44,200 ",,,
E02002592," 41,500 ",,,
E02002593," 42,300 ",,,
E02002594," 40,100 ",,,
E02002595," 32,000 ",,,
E02002596," 41,700 ",,,
E02002597," 31,800 ",,,
E02002598," 54,400 ",,,
E02002599," 47,600 ",,,
E02002600," 34,300 ",,,
E02002601," 43,000 ",,,
E02002602," 33,800 ",,,
E02002603," 43,700 ",,,
E02002604," 45,100 ",,,
E02002605," 42,100 ",,,
E02002606," 36,400 ",,,
E02002607," 37,500 ",,,
E02002608," 42,700 ",,,
E02002609," 34,000 ",,,
E02002610," 51,100 ",,,
E02002611," 48,600 ",,,
E02002612," 45,000 ",,,
E02002613," 54,300 ",,,
E02002614," 63,800 ",,,
E02003965," 34,000 ",,,
E02003966," 42,500 ",,,
E02003967," 37,600 ",,,
E02003968," 35,800 ",,,
E02003969," 29,000 ",,,
E02003970," 44,900 ",,,
E02003971," 47,100 ",,,
E02003972," 34,800 ",,,
E02003973," 29,900 ",,,
E02003974," 33,200 ",,,
E02003975," 41,100 ",,,
E02003976," 37,800 ",,,
E02003977," 39,100 ",,,
E02003978," 36,700 ",,,
E02003979," 44,500 ",,,
E02003980," 29,000 ",,,
E02003981," 41,100 ",,,
E02003982," 41,100 ",,,
E02003983," 31,300 ",,,
E02003984," 27,400 ",,,
E02003985," 34,700 ",,,
E02003986," 35,200 ",,,
E02003987," 35,200 ",,,
E02003988," 36,400 ",,,
E02003989," 40,900 ",,,
E02003990," 42,200 ",,,
E02003991," 42,900 ",,,
E02003992," 33,200 ",,,
E02003993," 44,500 ",,,
E02003994," 32,500 ",,,
E02003995," 29,900 ",,,
E02003996," 33,500 ",,,
E02003997," 29,000 ",,,
E02003998," 30,200 ",,,
E02003999," 41,200 ",,,
E02004000," 37,500 ",,,
E02004001," 34,500 ",,,
E02004002," 43,700 ",,,
E02004003," 38,200 ",,,
E02004004," 31,800 ",,,
E02004005," 37,200 ",,,
E02004006," 48,300 ",,,
E02004007," 36,000 ",,,
E02004008," 40,700 ",,,
E02004009," 41,400 ",,,
E02004010," 32,800 ",,,
E02004011," 39,600 ",,,
E02004012," 41,000 ",,,
E02004013," 38,800 ",,,
E02004014," 39,500 ",,,
E02004015," 34,800 ",,,
E02004016," 37,600 ",,,
E02004017," 41,600 ",,,
E02004018," 38,600 ",,,
E02004019," 43,000 ",,,
E02004020," 41,500 ",,,
E02004021," 42,400 ",,,
E02004022," 43,800 ",,,
E02004023," 37,400 ",,,
E02004024," 48,900 ",,,
E02004025," 42,100 ",,,
E02004026," 36,900 ",,,
E02004027," 38,600 ",,,
E02004028," 46,400 ",,,
E02000984," 56,300 ",,,
E02000985," 50,300 ",,,
E02000986," 41,800 ",,,
E02000987," 34,800 ",,,
E02000988," 33,400 ",,,
E02000989," 43,300 ",,,
E02000990," 45,500 ",,,
E02000991," 39,300 ",,,
E02000992," 41,500 ",,,
E02000993," 31,000 ",,,
E02000994," 27,700 ",,,
E02000995," 41,200 ",,,
E02000996," 29,400 ",,,
E02000997," 42,400 ",,,
E02000998," 30,900 ",,,
E02000999," 25,000 ",,,
E02001000," 32,600 ",,,
E02001001," 41,800 ",,,
E02001002," 37,400 ",,,
E02001003," 50,300 ",,,
E02001004," 27,900 ",,,
E02001005," 31,900 ",,,
E02001006," 33,100 ",,,
E02001007," 37,000 ",,,
E02001008," 28,100 ",,,
E02001009," 32,500 ",,,
E02001010," 31,600 ",,,
E02001011," 45,500 ",,,
E02001012," 35,900 ",,,
E02001013," 45,800 ",,,
E02001014," 35,200 ",,,
E02001015," 30,200 ",,,
E02001016," 31,200 ",,,
E02001017," 38,900 ",,,
E02001018," 47,400 ",,,
E02001019," 42,900 ",,,
E02001020," 49,900 ",,,
E02001021," 49,800 ",,,
E02001022," 39,200 ",,,
E02001023," 45,300 ",,,
E02001024," 44,900 ",,,
E02001025," 31,400 ",,,
E02001026," 32,200 ",,,
E02001027," 37,100 ",,,
E02001028," 45,200 ",,,
E02001029," 32,700 ",,,
E02001030," 43,400 ",,,
E02001031," 38,600 ",,,
E02001032," 37,700 ",,,
E02001033," 36,600 ",,,
E02001034," 29,200 ",,,
E02001035," 44,000 ",,,
E02001036," 41,000 ",,,
E02001037," 45,300 ",,,
E02001038," 36,600 ",,,
E02001039," 35,100 ",,,
E02001040," 41,500 ",,,
E02001041," 39,000 ",,,
E02001042," 42,300 ",,,
E02001043," 40,900 ",,,
E02001044," 45,500 ",,,
E02001045," 29,700 ",,,
E02001046," 33,400 ",,,
E02001047," 32,500 ",,,
E02001048," 35,400 ",,,
E02001049," 36,500 ",,,
E02001050," 30,300 ",,,
E02001051," 32,600 ",,,
E02001052," 31,900 ",,,
E02001053," 26,500 ",,,
E02001055," 29,500 ",,,
E02001056," 26,400 ",,,
E02001057," 36,100 ",,,
E02001059," 31,500 ",,,
E02001061," 29,800 ",,,
E02001062," 27,500 ",,,
E02001063," 33,600 ",,,
E02001064," 29,600 ",,,
E02001065," 32,100 ",,,
E02001066," 28,500 ",,,
E02001067," 31,200 ",,,
E02001068," 29,100 ",,,
E02001069," 31,300 ",,,
E02001070," 30,900 ",,,
E02001071," 34,900 ",,,
E02001072," 40,600 ",,,
E02001073," 48,200 ",,,
E02001074," 35,400 ",,,
E02001075," 37,600 ",,,
E02001076," 36,300 ",,,
E02001077," 48,800 ",,,
E02001078," 38,300 ",,,
E02001079," 36,400 ",,,
E02001080," 36,500 ",,,
E02001081," 48,900 ",,,
E02001082," 49,300 ",,,
E02001083," 49,300 ",,,
E02001084," 44,000 ",,,
E02001085," 33,500 ",,,
E02001086," 43,900 ",,,
E02001087," 55,800 ",,,
E02001088," 36,200 ",,,
E02001089," 51,000 ",,,
E02001090," 39,800 ",,,
E02001091," 36,600 ",,,
E02001092," 33,600 ",,,
E02001093," 35,300 ",,,
E02001094," 29,300 ",,,
E02001095," 32,800 ",,,
E02001096," 34,200 ",,,
E02001097," 31,700 ",,,
E02006902," 46,800 ",,,
E02006912," 45,800 ",,,
E02006913," 39,600 ",,,
E02006914," 34,600 ",,,
E02006915," 33,400 ",,,
E02006916," 42,200 ",,,
E02006917," 73,400 ",,,
E02001098," 40,600 ",,,
E02001099," 36,000 ",,,
E02001100," 40,100 ",,,
E02001101," 44,300 ",,,
E02001102," 43,500 ",,,
E02001103," 45,800 ",,,
E02001104," 39,900 ",,,
E02001105," 37,500 ",,,
E02001106," 36,900 ",,,
E02001107," 38,900 ",,,
E02001108," 33,200 ",,,
E02001109," 31,600 ",,,
E02001110," 51,300 ",,,
E02001111," 25,700 ",,,
E02001112," 45,400 ",,,
E02001113," 30,600 ",,,
E02001114," 34,100 ",,,
E02001115," 39,200 ",,,
E02001116," 33,300 ",,,
E02001117," 46,800 ",,,
E02001118," 44,000 ",,,
E02001119," 29,700 ",,,
E02001121," 28,800 ",,,
E02001123," 32,300 ",,,
E02001124," 29,100 ",,,
E02001125," 38,700 ",,,
E02001126," 29,600 ",,,
E02001127," 31,400 ",,,
E02001128," 34,900 ",,,
E02001129," 31,600 ",,,
E02001130," 35,500 ",,,
E02001131," 35,300 ",,,
E02006860," 32,700 ",,,
E02001132," 38,600 ",,,
E02001133," 44,900 ",,,
E02001134," 43,000 ",,,
E02001135," 29,200 ",,,
