geography code,level_4_qualifications_and_above
E02003862,2038
E02003863,2803
E02003864,3012
E02003865,2390
E02003866,2105
E02003867,2188
E02003868,1876
E02003869,2211
E02003870,2749
E02003871,1191
E02003872,3261
E02003873,983
E02003794,2183
E02003795,1554
E02003796,1663
E02003797,3411
E02003798,584
E02003799,692
E02003800,2110
E02003801,1996
E02003802,2881
E02003803,2491
E02003804,2322
E02003805,2287
E02003806,1861
E02003807,3411
E02003808,1235
E02003809,2349
E02003810,2280
E02003841,2253
E02003842,1997
E02003843,822
E02003844,1797
E02003845,831
E02003846,652
E02003847,2304
E02003848,561
E02003849,554
E02003850,817
E02003851,1241
E02003852,1393
E02003874,2846
E02003875,2119
E02003876,1032
E02003877,3044
E02003878,1755
E02003879,1042
E02003880,1104
E02003881,1184
E02003882,1276
E02003883,3472
E02003884,2830
E02003885,1577
E02003886,807
E02003887,1136
E02003888,637
E02003889,619
E02003890,838
E02003891,1862
E02002574,1632
E02002575,2591
E02002576,884
E02002577,643
E02002578,1062
E02002579,698
E02002580,643
E02002581,1224
E02002582,2185
E02002583,573
E02002584,848
E02002585,1549
E02002586,656
E02002587,687
E02002588,540
E02002589,1377
E02002590,2133
E02002591,1736
E02002592,1311
E02002593,1293
E02002594,1086
E02002595,608
E02002596,1869
E02002597,745
E02002598,2296
E02002599,3036
E02002600,1051
E02002601,1406
E02002602,833
E02002603,1414
E02002604,1866
E02002605,1614
E02002606,1655
E02002607,1658
E02002608,1774
E02002609,1078
E02002610,4450
E02002611,2297
E02002612,2985
E02002613,2166
E02002614,2510
E02003965,1731
E02003966,1966
E02003967,1445
E02003968,1362
E02003969,508
E02003970,2503
E02003971,2498
E02003972,1434
E02003973,675
E02003974,843
E02003975,1294
E02003976,1995
E02003977,1181
E02003978,981
E02003979,1947
E02003980,621
E02003981,1351
E02003982,1502
E02003983,752
E02003984,621
E02003985,895
E02003986,934
E02003987,968
E02003988,1511
E02003989,1717
E02003990,2583
E02003991,1487
E02003992,1918
E02003993,2529
E02003994,1132
E02003995,899
E02003996,1543
E02003997,796
E02003998,645
E02003999,2038
E02004000,802
E02004001,971
E02004002,2132
E02004003,1989
E02004004,801
E02004005,1173
E02004006,2776
E02004007,1663
E02004008,1746
E02004009,1643
E02004010,978
E02004011,2038
E02004012,1729
E02004013,2191
E02004014,1734
E02004015,1996
E02004016,2146
E02004017,2105
E02004018,2017
E02004019,2019
E02004020,1970
E02004021,1738
E02004022,1878
E02004023,1799
E02004024,2527
E02004025,2412
E02004026,1965
E02004027,2436
E02004028,2269
E02000984,2499
E02000985,2246
E02000986,2067
E02000987,1333
E02000988,1256
E02000989,2118
E02000990,2001
E02000991,1583
E02000992,1318
E02000993,761
E02000994,731
E02000995,1923
E02000996,686
E02000997,1466
E02000998,1196
E02000999,853
E02001000,1216
E02001001,2005
E02001002,1259
